Page Number,Image Name (HC10-10002_XXX),Date (YYYY-MM-DD),Name of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Monthly Meeting,"Place (Township, County, etc)","Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)","Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Call Number
3,HC10-10002_017,1765-06-17,James,,,male,Abington,"Byberry, Philadelphia","Walton, Daniel","Walton, Daniel",male,,", Thomas; Fletcher, Thomas",,,,HC.PhQ.P480.07.002 (1250/J2.16)
1,"HC10-10002_013, HC10-10002_014",1775-03-04,Thomas Brown,,,male,Abington,"Byberry, Philadelphia","Titus, Sarah","Titus, Sarah",female,"Townsend, John; Bolton, Isaac, Pemberton,","Townsend, John; Bolton, Isaac, Pemberton,",,,,HC.PhQ.P480.07.002 (1250/J2.16)
2,"HC10-10002_015, HC10-10002_016",1775-03-11,Catherine Brown,,,female,Abington,Southampton,"Bolton, Isaac","Bolton, Isaac",male,"Daley, Cornelius; Pemberton,","Daley, Cornelius; Pemberton,",,,,HC.PhQ.P480.07.002 (1250/J2.16)
4,"HC10-10002_019, HC10-10002_020, HC10-10002_021",1775-09-05,Nell,19,19,female,Abington,"Moreland, Philadelphia","Parry, David","Parry, David",male,"Pemberton, Saml; Pemberton, Phebe","Pemberton, Samuel; Pemberton, Phebe","Hallowell Jun, Wm","Hallowell Jr, William",,HC.PhQ.P480.07.002 (1250/J2.16)
5,HC10-10002_022,1775-09-05,Polly,33,33,female,Abington,"Moreland, Philadelphia","Walton, Thomas","Walton, Thomas",male,,,"Hallowell Jun, Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
6,HC10-10002_024,1776-04-30,Dafney (Daphne),20,20,female,Abington,"Southampton, Bucks County","Bolton, Sarah; Bolton, Margaret; Bolton, Rachel; Bolton, Isaac","Bolton, Sarah; Bolton, Margaret; Bolton, Rachel; Bolton, Isaac","female, female, female, male","Parrish, John; Verree, Robert","Parrish, John; Verree, Robert","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
7,"HC10-10002_026, HC10-10002_027",1776-04-30,Mary Froner,5,18,female,Abington,Abington,"Fletcher, Thomas","Fletcher, Thomas",male,"Morris, Joshua; Parrish, John","Morris, Joshua; Parrish, John","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
8,HC10-10002_028,1776-04-30,Mary,11,18,female,Abington,"Byberry, Philadelphia","Walmsley, Thomas","Walmsley, Thomas",male,"Morris, Sophia; Parrish, John","Morris, Sophia; Parrish, John","Hallowell Jun., Wm","Hallowell Jr., William",Also recorded in front of an Alderman of the City of Philadelphia in 1791.,HC.PhQ.P480.07.002 (1250/J2.16)
9,HC10-10002_030,1776-04-30,Betty,15,18,female,Abington,"Byberry, Philadelphia","Walmsley, Susannah; Walmsley, Thomas; Walmsley, William","Walmsley, Susannah; Walmsley, Thomas; Walmsley William","female, male, male","Parrish, John; Morris, Joshua","Parrish, John; Morris, Joshua","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
10,"HC10-10002_032, HC10-10002_033",1776-05-01,Sam,20,21,male,Abington,"Byberry, Philadelphia","Walmsley, Silas","Walmsley, Silas",male,"Thornton, James; Parrish, John","Thornton, James; Parrish, John","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
11,"HC10-10002_034, HC10-10002_035",1776-05-01,Peggy,9,18,female,Abington,"Byberry, Philadelphia","Knight, Giles","Knight, Giles",male,"Morris, Joshua; Parrish, John","Morris, Joshua; Parrish, John","Hallowell Jun., Wm","Hallowell Jr., William",,HC.PhQ.P480.07.002 (1250/J2.16)
