Page Number,Image Name (HC10-10002_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",Name of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Gender of Enslaved Person,"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)",Unabbreviated - Clerk,Notes
2,HC10-10008_01,1776-11-14,"Sussex County, Virginia",Cuffy,22,22,male,"Cornwell, John","Cornwell, John",male,"Pretlow, John and Richs, Thos ","Pretlow, John and Ricks, Thomas",,,,
2,HC10-10008_01,1776-11-18,"Prince George County, Virginia",Hannah,46,46,female,"Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,
3,HC10-10008_02,1776-11-18,"Prince George County, Virginia",Jemmy,33,33,male,"Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,
3,HC10-10008_02,1776-11-18,"Prince George County, Virginia",Judy,20,20,female,"Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,
4,HC10-10008_03,1776-11-18,"Prince George County, Virginia",Ned,20,21,male,"Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,
4,HC10-10008_03,1776-11-18,"Prince George County, Virginia",Dick,15,21,male,"Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,
5,HC10-10008_04,1776-11-18,"Prince George County, Virginia",Isaac,15,21,male,"Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd.; Russel, Benja.; Pretlow, John ","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,
5,HC10-10008_04,1776-11-18,"Prince George County, Virginia",Joe,2,21,male,"Hunnicutt, Robert","Hunnicutt, Robert",male,"Edwd.Stabler, Edwd.; Russel, Benja.; Pretlow, John  Stabler, Benja. Russel. John Pretlow","Stabler, Edward; Russel, Benjamin; Pretlow, John",,,,
6,HC10-10008_05,1776-12-14,"Prince George County, Virginia",Davie,12,21,male,"Hunnicutt, Robert","Hunnicutt, Robert",male,"Stabler, Edwd. and Hunnicutt, Thos.","Stabler, Edward and Hunnicutt, Thomas",,,,
6,HC10-10008_05,1776-11-19,"Surrey County, Virginia",Areo,40,40,male,"Hargrave, Hartwell","Hargrave, Hartwell",male,"Hopkins, Saml. and Stabler, Edwd.","Hopkins, Samuel and Stabler, Edward ",,,,
